Quantity,UnitPrice,ItemsInCart,TotalPrice,OrderMonth,OrderDayOfWeek,OrderYear,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_NoCoupon,CouponCode_SAVE10,CouponCode_WINTER15,RevenuePerItem,CartConversionRatio,IsHighValueOrder,IsWeekendOrder
5,570.62,7,2853.1,1,2,2023,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,570.62,0.7142857142857143,1,0
2,151.35,3,302.7,8,4,2024,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,151.35,0.6666666666666666,0,0
5,550.68,8,2753.4,2,1,2024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.6800000000001,0.625,1,0
1,273.19,5,273.19,10,6,2023,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,273.19,0.2,0,1
4,626.01,8,2504.04,5,3,2025,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,626.01,0.5,1,0
2,245.86,4,491.72,10,0,2023,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,245.86,0.5,0,0
1,664.42,6,664.42,6,1,2025,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,664.42,0.16666666666666666,0,0
5,149.55,9,747.75,5,4,2023,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,149.55,0.5555555555555556,0,0
2,134.28,2,268.56,4,2,2025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,134.28,1,0,0
4,509.38,6,2037.52,11,1,2023,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,509.38,0.6666666666666666,1,0
5,625.97,9,3129.85,12,4,2023,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,625.97,0.5555555555555556,1,0
3,49.14,7,147.42,2,5,2024,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,49.13999999999999,0.42857142857142855,0,1
2,180.5,6,361,10,1,2024,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,180.5,0.3333333333333333,0,0
3,201.49,4,604.47,8,2,2023,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,201.49,0.75,0,0
2,393.33,3,786.66,3,0,2023,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,393.33,0.6666666666666666,0,0
1,473.96,3,473.96,7,0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,473.96,0.3333333333333333,0,0
2,533.81,3,1067.62,1,1,2023,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,533.81,0.6666666666666666,1,0
1,423.4,3,423.4,3,5,2024,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,423.4,0.3333333333333333,0,1
1,431.44,3,431.44,3,2,2025,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,431.44,0.3333333333333333,0,0
5,224,9,1120,1,0,2023,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,224,0.5555555555555556,1,0
5,62.51,9,312.55,5,0,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,62.510000000000005,0.5555555555555556,0,0
4,342.95,6,1371.8,11,6,2024,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,342.95,0.6666666666666666,1,1
2,49.62,2,99.24,1,6,2023,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,49.62,1,0,1
4,273.25,5,1093,4,2,2025,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,273.25,0.8,1,0
2,230.95,3,461.9,10,2,2024,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,230.95,0.6666666666666666,0,0
1,399.98,3,399.98,7,2,2024,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,399.98,0.3333333333333333,0,0
5,59.55,6,297.75,3,2,2024,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,59.55,0.8333333333333334,0,0
1,472.74,6,472.74,2,3,2024,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,472.74,0.16666666666666666,0,0
4,160.07,5,640.28,11,1,2023,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,160.07,0.8,0,0
